Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
114--FISH; FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS,-625086593,-805227238,-771379531,-850108932,-1226453560,-1173690877,-1287144871,-1119502782,-1215612251,-1026209591,-915101451,-959626376,-1062858675,-958648820,-952569778
313--TEXTILES & FABRICS,-335263612,-381803262,-471321535,-714008177,-773358828,-852678940,-923348258,-733917132,-975283991,-1282460454,-1462775404,-1563755030,-1774540764,-2011394666,-1904975709
980--GOODS RET TO CA (EXP); US GOODS RET & REIMPS (IMP),-380171816,-473923646,-596261036,-692270024,-802367194,-966423311,-981563838,-1017948678,-1126521678,-1222880547,-1634432681,-1780456651,-1972809887,-2042431366,-2046707131
331--PRIMARY METAL MFG,-603838586,-187357647,-2232554307,-2351795696,-4369357585,-5010596358,-7733596753,-1330853801,-476736496,-1701283184,-1462305317,-1624379844,-3086712885,-3791014865,-2088035748
990--SPECIAL CLASSIFICATION PROVISIONS; NESOI,-886111000,-1155078617,-1566165106,-1944419179,-2283510941,-3018465849,-3293353042,-2746820420,-2084387113,-1922543322,-1910981082,-1808099181,-2449751251,-2518713388,-2318558810
321--WOOD PRODUCTS,-932836649,-1088031356,-1555696441,-1999336397,-2609251767,-2724128633,-2535467833,-1933824501,-2160817786,-1957438203,-2343189937,-2123972910,-2283172370,-2792451801,-2440215667
323--PRINTED MATTER AND RELATED PRODUCTS; NESOI,-849704117,-1031959852,-1345126673,-1608773181,-1772364473,-2066023808,-2131416085,-1882264897,-2113787074,-2160486753,-2264688725,-2303275588,-2258179050,-2435632762,-2510229086
325--CHEMICALS,875351865,1035075889,1311814607,824348980,633947987,457535262,-3474390339,-107536237,-700614072,-2164793765,-2814771109,-2473978285,-3958572997,-3779904327,-2629946421
327--NONMETALLIC MINERAL PRODUCTS,-2682133792,-2843494225,-3183631513,-3866235162,-4643659770,-4673360454,-4579563446,-3388846248,-4570292013,-5209050080,-5381466772,-5486303613,-6095496576,-6569647477,-6459344073
314--TEXTILE MILLS PRODUCTS,-2433075520,-3319846042,-4399357741,-5666494638,-6538306383,-7291432313,-7257486494,-6573142665,-8178854054,-9400821034,-9644150115,-10145374514,-10487548129,-11269216860,-11075045628
326--PLASTICS & RUBBER PRODUCTS,-3170722857,-3677899274,-4619681076,-6175728526,-7345720746,-8634032116,-9267009459,-8160353042,-9437607743,-11546928897,-13574604749,-14708369469,-15707206367,-14935564089,-14416081527
332--FABRICATED METAL PRODUCTS; NESOI,-4512046860,-5327058669,-6897957479,-8619939006,-10861232180,-12305232387,-13526066399,-10154321911,-12583359499,-14826213882,-16393066125,-16321053184,-17900961420,-18921864886,-18731975513
316--LEATHER & ALLIED PRODUCTS,-12965359697,-13875603622,-15397509215,-17352818125,-19027818204,-19748423854,-20383255173,-18157035597,-22035535184,-22843674320,-23569095557,-23629658497,-23531979906,-23853379451,-20504459987
337--FURNITURE & FIXTURES,-6803073449,-8500849025,-10454222789,-12550152815,-14399473582,-15289254475,-14707353845,-12346482523,-15011133334,-15130873661,-16273560535,-17284183333,-18261477668,-20229859543,-21004764622
333--MACHINERY; EXCEPT ELECTRICAL,-2697623609,-5154587836,-6205634284,-9975812463,-11459549185,-10470239417,-9173934684,-7501712607,-7691142778,-13188349823,-16330820871,-16896277535,-19916557628,-21415056157,-22191353463
315--APPAREL MANUFACTURING PRODUCTS,-9251629474,-11023837210,-13117284471,-19303697289,-22392935707,-26325094808,-26132657713,-26136454596,-30940080352,-32273364589,-31872645335,-32662826207,-32730575288,-33367585894,-30265765970
339--MISCELLANEOUS MANUFACTURED COMMODITIES,-20228203357,-22665026823,-24713608951,-27724300851,-30528151128,-36587726604,-37905235336,-32457066563,-35983972159,-33895036768,-34067014327,-34032017851,-35322528221,-37519921699,-36510677426
335--ELECTRICAL EQUIPMENT; APPLIANCES & COMPONENTS,-9992923343,-11334429668,-13979006219,-16326180150,-18948529767,-20830761630,-21547489050,-18802862563,-24417229759,-29148051086,-30830086912,-33878367512,-35894042164,-38739987448,-37637188547
334--COMPUTER AND ELECTRONIC PRODUCTS,-28001824584,-37357279812,-56238466091,-70831081768,-83204260508,-92250021559,-94006791145,-90825508862,-117535083854,-127331297963,-140477395221,-143028557532,-151923485477,-153125586057,-144144117950
